,Drug_Name,Reason,Description
1133,Remune Al Capsule 10'S,Allergies,treat Acne which often refer to as pimples or spots
1134,RENODAPT S 540mg Tablet 10's,Allergies,treat Acne which often refer to as pimples or spots
1135,REOKAST 5mg Tablet 10'sREOKAST 10mg Tablet 10's,Allergies,treat Acne which often refer to as pimples or spots
1136,Respicure FM Tablet 10'S,Allergies,relief from allergy
1137,Retilone 40mg Injection 1ml,Allergies,releief from all type of allergies
1138,REVOKAST Syrup 60mlREVOKAST Tablet 10's,Allergies,relief from allergy
1139,REXHIST 180mg Tablet 10's,Allergies,treat Acne which often refer to as pimples or spots
1140,Rhinofex 120mg Tablet 10'SRhinofex 180mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1141,Rhinomax 10+5mg Tablet 10'SRhinomax 4+2.5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1142,RID AR Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1143,RID AR Kid Syrup 30mlRID AR Kid Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1144,Ridyl Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1145,Rinitrin 10mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1146,Rinofast Drops 15ml,Allergies,relief from allergy
1147,Rinosolvin Tablet 10'SRinosolvin Suspension 60ml,Allergies,releief from all type of allergies
1148,Rinostat LM Syrup 60mlRinostat LM Tablet 10'S,Allergies,relief from allergy
1149,Roletra D Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1150,Romilast 8mg Tablet 10'SRomilast 4mg Granules 0.5gm,Allergies,treat Acne which often refer to as pimples or spots
1151,Romilast FX Tablet 10'S,Allergies,relief from allergy
1152,Romilast L 4/2.5mg Tablet 10'SRomilast L 4mg Tablet 10'SRomilast L 5/2.5mg Tablet 10'SRomilast L Syrup 60mlRomilast L 10/5mg Tablet 10'SRomilast L mg Tablet 5mg Tablet 10'SRomilast L 10mg Tablet 10'S,Allergies,releief from all type of allergies
1153,RUP AL 10mg Tablet 10'S,Allergies,relief from allergy
1154,Rupacet 10mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1155,Rupahist 10mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1156,Rupanex Tablet 10'SRupanex M Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1157,Rupiz 10mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1158,Ryma 120mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1159,Rzine M Tablet 10'SRzine M 10/5mg Suspension 60ml,Allergies,treat Acne which often refer to as pimples or spots
1160,Safecet 5mg Tablet 10'SSafecet 10mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1161,Safecet M 10/5mg Tablet 10'S,Allergies,relief from allergy
1162,Salphyllin M 5/2.5mg Tablet 10'SSalphyllin M 10/5mg Tablet 10'S,Allergies,releief from all type of allergies
1163,Satrin Syrup 60mlSatrin 10mg Tablet 10'S,Allergies,relief from allergy
1164,Setride Syrup 30mlSetride 10mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1165,Shcorty H17 Cream 10gm,Allergies,treat Acne which often refer to as pimples or spots
1166,Sibastin 20mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1167,SIGCET 5mg Tablet 10's,Allergies,treat Acne which often refer to as pimples or spots
1168,Sigcet M 4/2.5mg Syrup 60ml,Allergies,treat Acne which often refer to as pimples or spots
1169,Sinarest AF Plus Syrup 60ml,Allergies,treat Acne which often refer to as pimples or spots
1170,Sizon 10mg Tablet 10'SSizon 5mg Tablet 10'SSIZON 20mg Tablet 10's,Allergies,treat Acne which often refer to as pimples or spots
1171,Sizon Forte Tablet 10'S,Allergies,relief from allergy
1172,Smarti 10mg Tablet 2'SSmarti Tablet 10'S,Allergies,releief from all type of allergies
1173,Smarti M Tablet 10'S,Allergies,relief from allergy
1174,Solitair 10/5mg Tablet 10'S,Allergies,relief from allergy
1175,Spiromont F Tablet 10'S,Allergies,releief from all type of allergies
1176,Spiromont F 180 Tablet 10'S,Allergies,relief from allergy
1177,Spiromont L 10/5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1178,Spiromont L Kid Syrup 60ml,Allergies,treat Acne which often refer to as pimples or spots
1179,Stanhist 10mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1180,Starcet 5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1181,Stonmont LC 10/5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1182,Stop Allerg 10Mg Tablet 10's,Allergies,treat Acne which often refer to as pimples or spots
1183,Stugil D Tablet 6'S,Allergies,treat Acne which often refer to as pimples or spots
1184,Sudin PD Drops 10ml,Allergies,relief from allergy
1185,Sunkul Eye Drops 10ml,Allergies,releief from all type of allergies
1186,Supratop Cream 15gm,Allergies,relief from allergy
1187,Symfine 120mg Tablet 6'SSymfine 180mg Tablet 6'S,Allergies,treat Acne which often refer to as pimples or spots
1188,Tancet L 5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1189,Taregyl Syrup 30mlTaregyl 1mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1190,Tastylora Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1191,Tastymont LC Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1192,Tastymont LC Kid Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1193,Tavegyl Syrup 30mlTavegyl Syrup 60mlTavegyl 1mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1194,Teczine 5mg CP Tablet 30'STeczine 10mg Tablet 15'STeczine Syrup 60mlTeczine 5mg Tablet 10'S,Allergies,relief from allergy
1195,Teczine M Tablet 10'STeczine M Syrup 60ml,Allergies,releief from all type of allergies
1196,Teczine M Kid Tablet 10'S,Allergies,relief from allergy
1197,Telekast F Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1198,Telekast L Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1199,Telekast L Kid Syrup 60mlTelekast L Kid Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1200,Terfed Syrup 50mlTerfed 60mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1201,Terizine 10mg Tablet 40'S,Allergies,treat Acne which often refer to as pimples or spots
1202,Thermal Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1203,Thymoliv 1.6mg Injection 1'S,Allergies,treat Acne which often refer to as pimples or spots
1204,TOFRIN 60mg Tablet 10's,Allergies,relief from allergy
1205,Torkast FX Tablet 10'S,Allergies,releief from all type of allergies
1206,TOSIGRA M Tablet 10's,Allergies,relief from allergy
1207,TREXYDIN Tablet 10's,Allergies,treat Acne which often refer to as pimples or spots
1208,Trexyl 60mg Tablet 10'STrexyl 30mg Suspension 60ml,Allergies,treat Acne which often refer to as pimples or spots
1209,Triamaderm Ointment 15gm,Allergies,treat Acne which often refer to as pimples or spots
1210,Triamsted Injection 1ml,Allergies,treat Acne which often refer to as pimples or spots
1211,Tritofen Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1212,Triz Syrup 60mlTriz Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1213,Triz LM Kid Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1214,TRUCET 10mg Tablet 10's,Allergies,relief from allergy
1215,Tusq DX Liquid 100ml,Allergies,releief from all type of allergies
1216,UBIL 20mg Tablet 10's,Allergies,relief from allergy
1217,Uniair FX 10/120mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1218,Uvnil 5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1219,VAN LM 10/5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1220,Ventidox DL Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1221,VENTIREX LM Tablet 10's,Allergies,treat Acne which often refer to as pimples or spots
1222,VENTIREX LM KID Tablet 10's,Allergies,treat Acne which often refer to as pimples or spots
1223,Verifine 180mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1224,Verizet 5mg Tablet 10,Allergies,relief from allergy
1225,Verizet D Tablet 10'S,Allergies,releief from all type of allergies
1226,VEROMON 5mg Tablet 10's,Allergies,relief from allergy
1227,Vibglow 5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1228,Vitaresp FX 180mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1229,Vitaresp FX 4/60mg Suspension 60mlVitaresp FX Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1230,Viznil Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1231,Vocetin 5mg Tablet 10'SVocetin Syrup 30ml,Allergies,treat Acne which often refer to as pimples or spots
1232,Voltriz M 10/5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1233,Vorlevo M 10/5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1234,Vozet Syrup 30mlVOZET 10mg Tablet 10'sVozet 5mg Tablet 10'S,Allergies,relief from allergy
1235,WALIMONT L Tablet 10's,Allergies,releief from all type of allergies
1236,WALIMONT LC Syrup 60ml,Allergies,relief from allergy
1237,Wikoryl AF Drops 10mlWikoryl ND Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1238,Wimonte L 4/2.5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1239,Wymesone 0.5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1240,Xaria 10/5mg Tablet 10'SXaria 4/2.5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1241,Xaria Plus Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1242,Xcure M Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1243,Xevor 10mg Tablet 10'SXevor 5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1244,Xevor Plus 5/75mg Capsule 10'S,Allergies,relief from allergy
1245,XL Mont Tablet 10'S,Allergies,releief from all type of allergies
1246,Xyzac 5mg Tablet 10'S,Allergies,relief from allergy
1247,Xyzal Syrup 60mlXyzal 5mg Tablet 15'SXyzal 10mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1248,Xyzal CP 5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1249,Xyzal M Tablet 10'SXyzal M Syrup 60ml,Allergies,treat Acne which often refer to as pimples or spots
1250,Xyzal M Kid DT Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1251,Z Mont Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1252,Zacra M Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1253,Zaditen Eye Drops 5ml,Allergies,treat Acne which often refer to as pimples or spots
1254,Zadonase 10/120mg Tablet 10'S,Allergies,relief from allergy
1255,Zadonase F Oral Suspension 100ml,Allergies,releief from all type of allergies
1256,ZEECOOL PLUS Eye Drops 10ml,Allergies,relief from allergy
1257,Zeez Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1258,Zeez M Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1259,ZEGRA 120mg Tablet 10'sZEGRA 180mg Tablet 10's,Allergies,treat Acne which often refer to as pimples or spots
1260,Zehist 10mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1261,ZELET 10mg Tablet 10's,Allergies,treat Acne which often refer to as pimples or spots
1262,Zencet 5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1263,Zendryl 25mg Capsule 10'S,Allergies,treat Acne which often refer to as pimples or spots
1264,ZENRID Tablet 10's,Allergies,relief from allergy
1265,Zerosma 1mg Tablet 10'S,Allergies,releief from all type of allergies
1266,ZEX 120mg Tablet 10's,Allergies,relief from allergy
1267,ZIN OD 5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1268,Zipcet 2.5mg Syrup 30mlZipcet 5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1269,Zmont FX 10/120mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1270,Zylera 5mg Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1271,Zylera M Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1272,Lezyncet 10mg Tablet 10'SLezyncet D Tablet 10'SLezyncet 5mg Tablet 10'SLezyncet Syrup 30mlZyncet Syrup 60mlZyncet 10mg Tablet 10'SLezyncet Cold Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1273,Zyrtec 10mg Tablet 10'SZyrtec 10mg Drops 30mlZyrtec Syrup 60ml,Allergies,treat Acne which often refer to as pimples or spots
1274,Zyrtec Drops 10ml,Allergies,relief from allergy
1275,Zyrtec OD Tablet 10'S,Allergies,treat Acne which often refer to as pimples or spots
1276,Admenta 5mg Tablet 10'SAdmenta 10mg Tablet 10'S,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1277,Admenta MD 5mg Tablet 10'SAdmenta MD 10mg Tablet 10'S,Alzheimer,dementia reduction
1278,Admenta XR 14mg Tablet 3'SAdmenta XR 7mg Tablet 3'S,Alzheimer,reliefs trauma and pain
1279,Almantin Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1280,Almerzil 5mg Tablet 10'SAlmerzil 10mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1281,Alzidoc 5mg Tablet 10'SAlzidoc 10mg Tablet 10'S,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1282,Alzil 10mg Tablet 10'SAlzil 5mg Tablet 10'S,Alzheimer,dementia reduction
1283,Alzil M 10mg Tablet 10'SAlzil M 5mg Tablet 10'S,Alzheimer,reliefs trauma and pain
1284,Alzil SR 11.5mg Tablet 10'SAlzil SR 23mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1285,Amazil 5mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1286,Aricep SR 23mg Tablet 10'SAricep 10mg Tablet 10'SAricep 5mg Tablet 10'S,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1287,Aricep M Tablet 10'S,Alzheimer,dementia reduction
1288,BENOVAT 45mg Tablet 10's,Alzheimer,reliefs trauma and pain
1289,Bularid Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1290,Ceham Tablet 10'SCeham Syrup 60mlCeham P Tablet 10'SCeham Injection 4ml,Alzheimer, moderate to severe Alzheimer’s disease in adults
1291,Ceham M Tablet 10'S,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1292,CEREBRAIN 90mg Tablet 10's,Alzheimer,dementia reduction
1293,Cereloid Tablet 10'S,Alzheimer,reliefs trauma and pain
1294,Cerevate 90mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1295,Cholergol 30Mg Tablet 10's,Alzheimer, moderate to severe Alzheimer’s disease in adults
1296,Cholinecad Injection 2mlCholinecad 500mg Tablet 10'SCHOLINECAD 250mg Injection 2ml,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1297,Citelec 250mg Injection 2mlCitelec 1000mg Tablet 10'SCitelec 500mg Tablet 10'SCitelec 500mg Syrup 60ml,Alzheimer,dementia reduction
1298,Citelec P 500/800mg Tablet 10'S,Alzheimer,reliefs trauma and pain
1299,Citibral 250mg Injection 2ml,Alzheimer, moderate to severe Alzheimer’s disease in adults
1300,Citico 500mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1301,CITICON 500mg Tablet 10's,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1302,Citicon P 500/800mg Tablet 10'S,Alzheimer,dementia reduction
1303,Citiflo 500mg Injection 2mlCitiflo 500mg Tablet 10'SCitiflo 500mg Injection 4ml,Alzheimer,reliefs trauma and pain
1304,Citilin 500mg Tablet 10'SCitilin Injection 2ml,Alzheimer, moderate to severe Alzheimer’s disease in adults
1305,Citilin P Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1306,Citimac Injection 4mlCitimac 250mg Injection 2mlCitimac 500mg Tablet 10'S,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1307,Citimac P Tablet 10'S,Alzheimer,dementia reduction
1308,Citimet 500mg Tablet 10'S,Alzheimer,reliefs trauma and pain
1309,Citinerve 500mg Tablet 10'SCitinerve 1000mg Tablet 10'SCitinerve 250mg Injection 2ml,Alzheimer, moderate to severe Alzheimer’s disease in adults
1310,Citinerve P Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1311,Citinova 500mg Tablet 10'SCitinova 250mg Injection 2ml,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1312,Citistar 500mg Tablet 10'SCitistar 750mg Tablet 10'SCitistar PM Tablet 10'S,Alzheimer,dementia reduction
1313,Citisure 500mg Tablet 10'SCitisure 250mg Injection 2ml,Alzheimer,reliefs trauma and pain
1314,Citivas 500mg Injection 1'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1315,Citizac 500mg Tablet 10'SCitizac 1000mg Injection 4mlCitizac Injection 2ml,Alzheimer, moderate to severe Alzheimer’s disease in adults
1316,Citrok 250mg Injection 2mlCitrok 500mg Tablet 10'S,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1317,Clinaxon 500mg Tablet 10'SClinaxon Injection 2mlClinaxon 250mg Injection 4ml,Alzheimer,dementia reduction
1318,Clinaxon OD Tablet 10'S,Alzheimer,reliefs trauma and pain
1319,Clinaxon P Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1320,COGMENTIN 5mg Tablet 10's,Alzheimer, moderate to severe Alzheimer’s disease in adults
1321,Cognitam Plus Tablet 10'SCognitam Injection 15ml,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1322,Cognitrac 60mg Injection,Alzheimer,dementia reduction
1323,Cognolin Tablet 10'S,Alzheimer,reliefs trauma and pain
1324,Cognolin P Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1325,Cogpex Plus 500/800mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1326,Colihenz 500mg Tablet 10'SColihenz Injection 2mlColihenz P 800mg Tablet 10'S,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1327,Colihenz P 400mg Tablet 10'S,Alzheimer,dementia reduction
1328,Criticoline Injection 2ml,Alzheimer,reliefs trauma and pain
1329,Cyscolin 500mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1330,Dmentin MD 10mg Tablet 10'SDmentin MD 5mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1331,DNP 10mg Tablet 10'SDNP 5mg Tablet 10'S,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1332,Donamem 5mg Tablet 10'SDonamem 10mg Tablet 10'S,Alzheimer,dementia reduction
1333,Donamind M 5mg Tablet 10'SDonamind M 10mg Tablet 10'S,Alzheimer,reliefs trauma and pain
1334,Donaz 5mg Tablet 10'SDonaz 10mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1335,Donecept 5mg Tablet 10'SDonecept 10mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1336,Donecept M Forte Tablet 10'S,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1337,Donect 5Mg Tablet 10's,Alzheimer,dementia reduction
1338,Donect M Tablet 10's,Alzheimer,reliefs trauma and pain
1339,Donep 10mg Tablet 10'SDonep 5mg Tablet 15'SDonep 10mg Tablet 15'SDonep M Tablet 10'SDonep 100mg Tablet 10'SDonep Syrup 60mlDonep M Forte Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1340,Donep Odt 5mg Tablet 10'SDonep Odt 10mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1341,Donetaz SR 11.5mg Tablet 10'SDonetaz 11.5mg Tablet 10'SDonetaz 23mg Tablet 10,Alzheimer,"It is used for Alzheimer's disease and other types of dementia, head trauma,"
1342,Donetaz SR 23mg Tablet 10'S,Alzheimer,dementia reduction
1343,DOPE 5mg Tablet 10'sDOPE 10mg Tablet 10's,Alzheimer,reliefs trauma and pain
1344,Dopezil 10mg Tablet 10'SDopezil 5mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1345,Dorent 5mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1346,Ebixa 10mg Tablet 7'S,Alzheimer,help with mental function and with doing daily tasks
1347,Exelon 6mg Capsule 60'SExelon 4.5mg Capsule 14'SExelon 1.5mg Capsule 60'SExelon 9.5mg Patch 30'SExelon 4.6mg Patch 30'SExelon 1.5mg Capsule 14'SExelon 13.3mg Patch 30'SExelon 3mg Capsule 14'S,Alzheimer,"used to treat mild, moderate, and severe Alzheimer’s disease"
1348,Exelon Tts 4.6mg Patch 5'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1349,Galamer 4mg Tablet 10'SGalamer 8mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1350,Galamer OD 8mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1351,Ideox Tablet 10'S,Alzheimer,help with mental function and with doing daily tasks
1352,Lapezil 10mg Tablet 10'SLapezil 5mg Tablet 10'S,Alzheimer,"used to treat mild, moderate, and severe Alzheimer’s disease"
1353,Larentine 5mg Tablet 10'SLarentine 10mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1354,Larentine D 5mg/5mg Tablet 10'SLarentine D 5mg/10mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1355,Megacholin Capsule 7'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1356,Memancad D Tablet 10'S,Alzheimer,help with mental function and with doing daily tasks
1357,Memantal 10mg Tablet 10'SMemantal 5mg Tablet 10'S,Alzheimer,"used to treat mild, moderate, and severe Alzheimer’s disease"
1358,Mentadem 5mg Tablet 10'SMentadem 10mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1359,Mentra 5mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1360,N Citi 500mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1361,N Citi Plus 500/800mg Tablet 10'S,Alzheimer,help with mental function and with doing daily tasks
1362,Nemdaa 5mg Tablet 10'S,Alzheimer,"used to treat mild, moderate, and severe Alzheimer’s disease"
1363,Neuciti 500mg Tablet 10'SNeuciti 250mg Tablet 10'SNeuciti Injection 4mlNeuciti 250mg Injection 2ml,Alzheimer, moderate to severe Alzheimer’s disease in adults
1364,Neuciti Forte Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1365,Neuciti Plus Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1366,Neurocetam Plus Tablet 10'S,Alzheimer,help with mental function and with doing daily tasks
1367,Neurofit C 500/800mg Tablet 10'S,Alzheimer,"used to treat mild, moderate, and severe Alzheimer’s disease"
1368,Neuromin CT 500mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1369,Neuromin M CT 500/800mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1370,Neurospark 500mg Injection 2ml,Alzheimer, moderate to severe Alzheimer’s disease in adults
1371,Neurox 500mg Syrup 100mlNeurox 400mg Tablet 10'S,Alzheimer,help with mental function and with doing daily tasks
1372,Nootropil C 500/800mg Tablet 10'S,Alzheimer,"used to treat mild, moderate, and severe Alzheimer’s disease"
1373,Nozil 5mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1374,Nurocol 250mg Injection 2mlNurocol 500mg Tablet 10'SNurocol Injection 4ml,Alzheimer, moderate to severe Alzheimer’s disease in adults
1375,Nurocot 500mg Tablet 10'S,Alzheimer, moderate to severe Alzheimer’s disease in adults
1376,Nutam Forte 500/1200mg Tablet 10'S,Alzheimer,help with mental function and with doing daily tasks
1377,Prexaron 500mg Tablet 10'SPrexaron 1000mg Tablet 10'SPrexaron Injection 2mlPrexaron Plus Tablet 10'SPrexaron M SR Tablet 10'S,Alzheimer,"used to treat mild, moderate, and severe Alzheimer’s disease"
1378,Recognix 500mg Injection 4ml,Alzheimer, moderate to severe Alzheimer’s disease in adults
1379,Rivamer 1.5mg Capsule 10'SRivamer 4.5mg Capsule 10Rivamer 3mg Capsule 10'SRivamer 6mg Capsule 10,Alzheimer,treat patients who suffer from Alzheimer and myasthenia gravis where muscles
1380,Rivasmine 3mg Capsule 10'SRivasmine 4.5mg Capsule 10'SRivasmine 1.5mg Capsule 10'SRivasmine 6mg Capsule 10'S,Alzheimer,treat patients who suffer from Alzheimer and myasthenia gravis where muscles
1381,Rivera 1.5mg Capsule 10'SRivera 4.5mg Capsule 10'S,Alzheimer,treat patients who suffer from Alzheimer and myasthenia gravis where muscles
1382,Shicolin 500mg Tablet 10'S,Alzheimer,treat patients who suffer from Alzheimer and myasthenia gravis where muscles
1383,Somazina OD Tablet 10'SSomazina Plus Tablet 10'SSomazina Injection 4mlSomazina 500mg Tablet 10'S,Alzheimer,treat patients who suffer from Alzheimer and myasthenia gravis where muscles
1384,Somazina Oral 500mg Solution 60ml,Alzheimer,treat patients who suffer from Alzheimer and myasthenia gravis where muscles
1385,Storax 500mg Tablet 10'SStorax Injection 2mlStorax Plus Tablet 10'S,Alzheimer,treat patients who suffer from Alzheimer and myasthenia gravis where muscles
1386,Storax PR Tablet 10'S,Alzheimer,treat patients who suffer from Alzheimer and myasthenia gravis where muscles
1387,Strocit 500mg Tablet 10'SStrocit Injection 2mlStrocit 1000mg Tablet 10'SStrocit Injection 4mlStrocit Plus Tablet 10'S,Alzheimer,"treat Alzheimer, weak and, in severe cases, the muscles may become paralysed"
1388,Strocit CR Tablet 10'S,Alzheimer,"treat Alzheimer, weak and, in severe cases, the muscles may become paralysed"
1389,Strocit Oral Drops 30ml,Alzheimer,"treat Alzheimer, weak and, in severe cases, the muscles may become paralysed"
1390,Strocoz 250mg Injection 4mlStrocoz 250mg Injection 2mlStrocoz 500mg Syrup 60ml,Alzheimer,"treat Alzheimer, weak and, in severe cases, the muscles may become paralysed"
1391,Strolife 500/800mg Tablet 10'S,Alzheimer,"treat Alzheimer, weak and, in severe cases, the muscles may become paralysed"
1392,Strolife Mono 500mg Tablet 10'S,Alzheimer,"treat Alzheimer, weak and, in severe cases, the muscles may become paralysed"
1393,Strolin 500mg Tablet 10'SStrolin 4mg Tablet 10'SStrolin P Tablet 10'SStrolin 250mg Injection 4mlStrolin Injection 2mlStrolin 1000mg Tablet 10'SStrolin P 800mg Tablet 10'SStrolin 100mg Syrup 60ml,Alzheimer,"treat Alzheimer, weak and, in severe cases, the muscles may become paralysed"
1394,Strolin OD 1gm Tablet 10'S,Alzheimer,"treat Alzheimer, weak and, in severe cases, the muscles may become paralysed"
1395,Stropil 500mg Tablet 10'S,Alzheimer,"treat Alzheimer, weak and, in severe cases, the muscles may become paralysed"
1396,Strozina 250mg Injection 4mlStrozina Syrup 60ml,Alzheimer,"treat Alzheimer, weak and, in severe cases, the muscles may become paralysed"
1397,Unicholin 500mg Injection 2ml,Alzheimer,"treat Alzheimer, weak and, in severe cases, the muscles may become paralysed"
1398,Winorol 75mg Capsule 10'S,Alzheimer,"treat Alzheimer, weak and, in severe cases, the muscles may become paralysed"
